0,16,29
0,16,0
0,16,71
0,17,28
0,17,15
0,17,57
0,18,43
0,18,14
0,18,43
0,19,57
0,19,13
0,19,30
0,20,70
0,20,18
0,20,12
0,21,88
0,21,12
0,21,0
2,16,35
2,16,0
2,16,65
2,17,35
2,17,14
2,17,51
2,18,49
2,18,13
2,18,38
2,19,62
2,19,13
2,19,24
2,20,76
2,20,12
2,20,12
2,21,88
2,21,12
2,21,0
3,16,38
3,16,0
3,16,62
3,17,38
3,17,13
3,17,49
3,18,51
3,18,13
3,18,36
3,19,64
3,19,12
3,19,24
3,20,76
3,20,12
3,20,12
3,21,88
3,21,12
3,21,0
4,16,40
4,16,0
4,16,60
4,17,40
4,17,13
4,17,47
4,18,53
4,18,11
4,18,35
4,19,65
4,19,12
4,19,23
4,20,77
4,20,12
4,20,12
4,21,88
4,21,12
4,21,0
5,16,43
5,16,0
5,16,57
5,17,43
5,17,12
5,17,45
5,18,55
5,18,12
5,18,33
5,19,67
5,19,12
5,19,21
5,20,79
5,20,10
5,20,11
5,21,89
5,21,11
5,21,0
6,16,42
6,16,0
6,16,58
6,17,42
6,17,17
6,17,41
6,18,59
6,18,11
6,18,30
6,19,69
6,19,11
6,19,20
6,20,80
6,20,10
6,20,10
6,21,90
6,21,10
6,21,0
7,16,26
7,16,0
7,16,74
7,17,26
7,17,37
7,17,37
7,18,63
7,18,14
7,18,23
7,19,77
7,19,8
7,19,15
7,20,85
7,20,8
7,20,7
7,21,93
7,21,7
7,21,0
8,16,24
8,16,0
8,16,76
8,17,24
8,17,13
8,17,63
8,18,37
8,18,36
8,18,27
8,19,73
8,19,13
8,19,14
8,20,86
8,20,7
8,20,7
8,21,93
8,21,7
8,21,0
9,16,23
9,16,0
9,16,77
9,17,23
9,17,12
9,17,64
9,18,36
9,18,10
9,18,54
9,19,46
9,19,36
9,19,18
9,20,82
9,20,12
9,20,6
9,21,94
9,21,6
9,21,0
10,16,21
10,16,0
10,16,79
10,17,21
10,17,11
10,17,67
10,18,33
10,18,11
10,18,56
10,19,44
10,19,11
10,19,45
10,20,56
10,20,33
10,20,11
10,21,89
10,21,11
10,21,0
11,16,12
11,16,0
11,16,88
11,17,12
11,17,13
11,17,75
11,18,24
11,18,13
11,18,63
11,19,37
11,19,13
11,19,50
11,20,50
11,20,13
11,20,37
11,21,63
11,21,37
11,21,0
